,store_tag
," 75,679,853 "
Burger," 28,749,773 "
Chicken," 8,504,049 "
Groceries," 8,250,849 "
Snacks," 7,453,337 "
Pizza & Italian," 6,212,564 "
Pizza," 5,907,801 "
Japanese," 4,789,271 "
Fast Food," 4,577,693 "
Asian," 3,563,088 "
American," 3,227,746 "
Healthy," 2,840,365 "
Mexican," 2,723,448 "
Italian," 2,584,642 "
Latin," 2,107,363 "
Turkish," 1,825,560 "
Oriental," 1,646,474 "
Chinese," 1,625,053 "
Poke," 1,430,085 "
International," 1,391,297 "
Sandwich," 1,179,362 "
Grill (Barbeque)," 1,176,415 "
Sweets," 1,142,659 "
Lebanese," 854,860 "
Spanish," 815,600 "
Georgian," 768,793 "
Icecream," 688,405 "
Sushi," 671,800 "
Other," 624,847 "
Pharmacy," 610,436 "
Mediterranean," 575,522 "
Argentinian," 515,447 "
Greek," 506,417 "
Ukranian," 480,055 "
Grill," 479,176 "
Thai," 466,764 "
Ice Cream," 466,005 "
Romanian," 421,096 "
Indian," 410,068 "
Tacos," 367,466 "
Drinks," 353,630 "
French," 292,559 "
African," 257,592 "
Seafood," 220,137 "
Portuguese," 197,680 "
Panini," 193,059 "
Egyptian," 166,675 "
Shawarma," 139,466 "
Vietnamese," 114,493 "
Ecuadorian," 111,846 "
Vegan / Vegetarian," 101,277 "
italiana," 98,771 "
Peruvian," 58,904 "
Gifts," 56,990 "
European," 53,645 "
Brazilian," 50,279 "
Morrocan," 48,300 "
Flowers," 34,964 "
Regalo (Gifts)," 34,280 "
Moroccan," 32,662 "
Cacher," 31,202 "
"Oriental,Cacher"," 15,851 "
Piadina," 7,896 "
"Asian,Japanese"," 3,456 "
"Cacher,Groceries"," 2,176 "
"Sweets,Snacks"," 2,019 "
"Pizza & Italian,Cacher"," 1,744 "
"Fast Food,Ice Cream"," 1,637 "
"Mexican,Fast Food"," 1,037 "
"French,Healthy"," 1,032 "
"Oriental,Lebanese", 748 
"Cacher,Pizza & Italian", 552 
"Lebanese,International", 524 
Pollo, 516 
"American,Sandwich", 501 
"Pizza & Italian,French", 423 
"Sweets,Ice Cream", 380 
"Japanese,Cacher", 340 
"Cacher,Japanese", 298 
"Mediterranean,International", 217 
"Cacher,Burger", 200 
"International,Healthy", 200 
"Burger,American", 197 
"International,Chinese", 185 
"Snacks,Sweets", 138 
"Asian,Chinese", 134 
"French,Burger", 124 
"Sandwich,Snacks", 120 
"Burger,French", 90 
"Healthy,French", 77 
"Pizza & Italian,Healthy", 73 
"American,Burger", 66 
"Thai,Asian", 66 
"Asian,International", 44 
"Lebanese,Oriental", 42 
"Fast Food,Apero", 39 
"Thai,Asian,Chinese", 38 
"Apero,Sandwich", 34 
"Mexican,Burger", 22 
"Chinese,Asian", 20 
"Japanese,Asian", 19 
"Asian,Thai", 17 
"International,Oriental", 14 
"Burger,Cacher,French", 12 
"Japanese,Mediterranean", 9 
"Seafood,French", 9 
"Healthy,Japanese", 5 
"Fast Food,French", 3 
"Groceries,Apero", 2 
"Cacher,International", 1 
," 191,003,262 "
