,category
RESTAURANT,172943930
MCDONALDSES,19675241
COURIER,13921658
MCDONALDSIT,9093026
QUIERO,8054494
MCD_LATAM,3746777
RESTAURANT_SSA,3467942
GROCERIES,3041521
SuperGlovo,3035941
MCDONALDSUA,2203775
SUPER-MARKET,2201850
MCDTBI,2168713
GROCERIES_UA,2025309
GROCERIES_PL,1735562
OFERTAS_LATAM,1614706
SNACKS,1318268
HELADO_LATAM,1305582
SNACKS_LATAM,1273685
MCDONALDS_RO,1246373
FASTFOOD_LATAM,1210653
SUPERMARKETS_GE,1186906
McDonalds_RO,1052123
MCDONALDS_HR,1017052
KAUFLAND_RO,1002494
SUPERMARKET_RO,969471
GROCERIESPT,965196
SUPERMARKET_LATAM,931008
DRINKS&TOBACCO_RO,918299
KFC_RO,915896
SNACK_ES,857768
SUPER&LICORES,843975
PHARMACY,829317
SUB-TOP-BRANDS,706917
ALCOHOL_LATAM,703333
XXXXXX%RESTAURANTS%%RESTAURANT%,702842
BREAKFAST,657580
MCDONALDSPOR,640085
KFC_UA,628069
RESTAURANTS,618808
RESTAURANTS-PROVICIONAL,551993
SNACK,543565
KFC_EC,496234
KFC_ES,445888
COLAZIONE-&-DOLCI,431323
BK_CI,429010
MCDONALD'S_HR,409980
ICECREAM-&-SWEETS,379004
REGALO,338451
MCD_PE,321648
MCDONALD´S-PL,320210
KIOSCOYBEBIDAS_LATAM,298877
BK-BR,281368
MCDONALD'S_MA,279723
TACOBELL_LATAM,271514
SNACKSPT,263207
GELATI-&-DOLCI,235140
GLOVOFERTAS,230406
SNACKS_CI,214951
DRUGSTOR_UA,210861
PHARMACY-GE,206252
BREAKFAST_TREATS,201411
KFC_HR,183159
PHARMACYIBERIA,174146
SNACKS-&-SWEETS_MA,171201
MCD_SJO,159513
RESTAURANTS_ME,158593
BEVANDE,154806
RESTAURANTES_ES,150754
STARBUCKS_RO,148185
LA_LUCHA,146857
BAKERY_MA,139980
BIEDRONKA-NEXT-DAY,136445
MCD_QUI,130244
SUPERMARKET-HR,128550
Drinks_KE,124464
IDEA,119696
ALCOHOL-&-DRINKS_UA,117479
PHARMACYSPAIN,115065
KFC-PT,113072
BREAKFAST-HR,109526
ANTICOVINAIO,107244
KIOSCO_LATAM,106156
FASTFOOD,104530
MCD_CL,100359
SNACKS-UA,100187
COFFEE&SNACKS-PL,98877
GROCERIES-KZ,98665
SPESA-&-DRINKS,97282
WENDY'S_GE,95285
BREAKFASTCOFFEE,94092
GLOVOPROMO,89600
DESSERTSJUICES,84419
DRINKS&MORE_RO,77508
VOS-FAVORIS,76684
BURGER-KING,75010
ALCOHOL-GE,65812
MINISUPER,64041
RESTAURANT_BA,64020
MARJANE-MA,63329
SNACKSBRA,60729
PHARMACY_RO,60007
PetitsPlaisirs,59267
DRINKS,56617
SNACKSJUICES,55750
BREAKFAST_&_SNACKS_RS,55214
TOP20_PE,54516
STORES-GE,54312
ALGODULCE,54052
ALTACOCINAPIDEHOY,53540
SIETESOPAS_PE,53320
BURGERKING_ES,49297
HELADO_ES,47373
CARREFOUR_FR,47034
BURGERKINGMA,46915
DM_RS,45442
GELATO,43551
MC-BR,41892
SPRINGTIME_RO,41826
GOXO,41825
AGROHUB-GE,41716
SHOPPING,40974
BAHANDI,38845
SUPERMARKET_RS,38151
XXXXXX%RESTAURANTS%%MCDONALDS_RO,37770
TRGOVINA,37401
MARKET_BUC,35834
SNACKS_AR,34117
KFC_MA,34097
BLACK_NOVEMBER,33961
GLOVOPROMO_MA,33250
SUPERMARKET_BG,32962
GROCERIES-HR2,32670
COCACOLA_SJO,31869
LJEPOTA-HR,31798
MCDGTM,31625
SPRINGTIME,29937
GOXO-PROGRAMADOS,29636
TIENDAS_EXPRESS_EC,29508
POSTRES-Y-CAFE,28693
IQOS-KZ,28029
STORES_RO,27418
GLO_RO,27264
NAIVAS,26635
OFERTASPT,26223
FLOWERS_RO,25990
MCDONALDS_BA,25705
2POR1_BR,24687
TUDO_DOBRO,24568
PHARMACY-KZ,24288
ESPECIALMEDIODIA,23857
XXXXXX%RESTAURANTS%%KFC_RO%,23846
DELIVERY-GRATISPE,23109
Quotidien,23072
FASTFOODFRA,22787
FASTFOOD_GOT,22691
GLOVOPROMOS_RO,22323
LOCALFOODS,22271
IQOS-UA,22231
KFC-KE,22050
SUPERMERCADO-DIA,21897
SUBWAY_GE,21896
PIZZA-INN,21661
GLOVO_MALL_RO,21659
CARREFOUR_KE,21158
XXXXXX%SUPERMARKET%%GROCERIES%,21041
HEALTH_KE,20750
MCD_GOT,20285
PEP_PEPPER_RO-,20212
COCACOLA_GTM,19946
REGALO-UA,19731
XXXXXX%RESTAURANTS%%MCDONALDSUA%,18912
PRESTO_PIZZA,18340
SNACKS-TEST,18300
Snacks&Deserts_GE,18294
ESPECIALIZADAS_EC,17493
Deals,17394
COMBOS_50%OFF,17218
SuperGlovo - MAD,16709
ANIVERSARIO_GLOVO,16638
3-X-2-PE,16452
MARCHE,16377
06222020%RESTAURANT%MCDONALD'S%M,15730
SOFA_MOMENTS,15550
BUDGET_MEALS,15492
KFC_RS,15191
CHICKEN-INN,15140
TIENDAEXPRESS,15074
CONVENIENCIA,14995
MCD_IT_COVID,14967
SPECIALTIES_LATAM,14420
MCD_PAN,14258
SUPERGLOVO_RO,14255
MAIS_PEDIDAS,14126
PHARMACY-PL,13823
TIENDAS_PE,13713
VISA-GEO,13706
FLOWERS-GE,13375
KFC_CI,13329
COCACOLA_RO,13160
ALCOHOLTBI,13078
XXXXXX%RESTAURANTS%%TOP-BRANDS%G,13046
BURGERKINGPT,12928
GLOVO_LUNCH_ECU,12885
GROCERIES_ME,12676
Telepizza,12672
PAPAJOHNS,12351
MOMENTOS_NO_SOFÁ,12322
GIFTS_BUC,12256
APERO_CI,12123
GIFTS_CI,12101
KFC_AR,11943
ORO-TORO-RO,11680
MINIMARKET,11638
