,year,week,city_code,culinary_culture,orders_this_restaurant_this_week,orders_this_city_this_week
0,2016,6,BCN,Italy,1,10
1,2016,6,BCN,Thailand,1,10
2,2016,6,BCN,US,1,10
3,2016,6,BCN,other,2,10
4,2016,7,BCN,Thailand,1,18
5,2016,7,BCN,US,1,18
6,2016,7,BCN,other,8,18
7,2016,7,MAD,Japan,3,8
8,2016,7,MAD,US,1,8
9,2016,7,MAD,other,2,8
10,2016,7,VAL,other,1,1
11,2016,8,BCN,Italy,3,30
12,2016,8,BCN,Japan,2,30
13,2016,8,BCN,Thailand,1,30
14,2016,8,BCN,US,5,30
15,2016,8,BCN,other,4,30
16,2016,8,MAD,Europe,1,42
17,2016,8,MAD,Japan,4,42
18,2016,8,MAD,Mexico,1,42
19,2016,8,MAD,US,10,42
20,2016,8,MAD,other,10,42
21,2016,8,VAL,US,1,1
22,2016,9,BCN,Asia,1,30
23,2016,9,BCN,Italy,1,30
24,2016,9,BCN,Japan,3,30
25,2016,9,BCN,US,7,30
26,2016,9,BCN,other,6,30
27,2016,9,MAD,Japan,5,43
28,2016,9,MAD,US,10,43
29,2016,9,MAD,other,14,43
30,2016,9,VAL,Japan,1,6
31,2016,9,VAL,US,3,6
32,2016,9,VAL,other,2,6
33,2016,10,BCN,Asia,2,146
34,2016,10,BCN,China,1,146
35,2016,10,BCN,Italy,5,146
36,2016,10,BCN,Japan,15,146
37,2016,10,BCN,Mexico,1,146
38,2016,10,BCN,Thailand,7,146
39,2016,10,BCN,US,48,146
40,2016,10,BCN,other,18,146
41,2016,10,MAD,Asia,1,140
42,2016,10,MAD,Europe,1,140
43,2016,10,MAD,Italy,1,140
44,2016,10,MAD,Japan,14,140
45,2016,10,MAD,Mexico,2,140
46,2016,10,MAD,US,52,140
47,2016,10,MAD,other,47,140
48,2016,10,VAL,Asia,1,29
49,2016,10,VAL,Italy,1,29
50,2016,10,VAL,US,14,29
51,2016,10,VAL,other,8,29
52,2016,11,BCN,Asia,6,195
53,2016,11,BCN,Europe,7,195
54,2016,11,BCN,Italy,17,195
55,2016,11,BCN,Japan,21,195
56,2016,11,BCN,Mexico,6,195
57,2016,11,BCN,Thailand,5,195
58,2016,11,BCN,US,53,195
59,2016,11,BCN,other,25,195
60,2016,11,MAD,Asia,3,229
61,2016,11,MAD,Europe,10,229
62,2016,11,MAD,Italy,6,229
63,2016,11,MAD,Japan,18,229
64,2016,11,MAD,Mexico,7,229
65,2016,11,MAD,Thailand,3,229
66,2016,11,MAD,US,59,229
67,2016,11,MAD,other,62,229
68,2016,11,VAL,Asia,1,25
69,2016,11,VAL,Europe,2,25
70,2016,11,VAL,Italy,1,25
71,2016,11,VAL,US,10,25
72,2016,11,VAL,other,7,25
73,2016,12,BCN,Asia,2,206
74,2016,12,BCN,China,1,206
75,2016,12,BCN,Europe,4,206
76,2016,12,BCN,Italy,13,206
77,2016,12,BCN,Japan,19,206
78,2016,12,BCN,Latin America,2,206
79,2016,12,BCN,Mexico,9,206
80,2016,12,BCN,Thailand,9,206
81,2016,12,BCN,US,73,206
82,2016,12,BCN,other,29,206
83,2016,12,MAD,Asia,2,183
84,2016,12,MAD,Europe,7,183
85,2016,12,MAD,Italy,5,183
86,2016,12,MAD,Japan,6,183
87,2016,12,MAD,Mexico,5,183
88,2016,12,MAD,US,36,183
89,2016,12,MAD,other,78,183
90,2016,12,VAL,Asia,1,28
91,2016,12,VAL,Japan,1,28
92,2016,12,VAL,US,11,28
93,2016,12,VAL,other,11,28
